[0.0, 0.25, 0.5, 0.75, 1.0] 
CD : 
[100.0, 0.28858694, 6.577690783698998e-9, 100.0] 
[100.0, 0.10766727999999999, 0.20237054036180352, 100.0] 
[98.39999999999999, 0.11307951999999999, 0.36267077197927117, 90.0] 
[100.0, 0.14033983, 0.4821187757889745, 100.0] 
[96.95, 0.11985320999999997, 0.567833806542736, 70.0] 
MU : 
[100.0, 0.16986779000000002, 8.666375654237334e-5, 100.0] 
[100.0, 0.006977269999999999, 0.20238851506191433, 100.0] 
[98.69999999999999, 0.008250619999999998, 0.36267734835483123, 90.0] 
[99.3, 0.007156889999999999, 0.4829259557682299, 80.0] 
[95.35, 0.006434820000000001, 0.5697764700470944, 40.0] 
